Freq/Hz, Z'/ohm," Z""/ohm", Z/ohm, Phase/deg
9.99E+05,2.07E+01,1.45E+01,2.53E+01,35.1
8.25E+05,2.00E+01,1.19E+01,2.33E+01,30.8
6.82E+05,2.00E+01,8.98E+00,2.19E+01,24.2
5.63E+05,1.95E+01,7.18E+00,2.08E+01,20.2
4.64E+05,1.93E+01,5.57E+00,2.01E+01,16.1
3.83E+05,1.90E+01,4.42E+00,1.95E+01,13.1
3.16E+05,1.89E+01,3.27E+00,1.92E+01,9.8
2.61E+05,1.88E+01,2.27E+00,1.89E+01,6.9
2.16E+05,1.88E+01,1.30E+00,1.88E+01,4
1.78E+05,1.88E+01,4.53E-01,1.88E+01,1.4
1.47E+05,1.88E+01,-3.74E-01,1.88E+01,-1.1
1.21E+05,1.89E+01,-1.20E+00,1.89E+01,-3.6
9.96E+04,1.90E+01,-2.03E+00,1.91E+01,-6.1
8.25E+04,1.91E+01,-2.93E+00,1.93E+01,-8.7
6.81E+04,1.93E+01,-3.91E+00,1.96E+01,-11.5
5.62E+04,1.94E+01,-4.99E+00,2.01E+01,-14.4
4.64E+04,1.96E+01,-6.19E+00,2.06E+01,-17.5
3.83E+04,1.99E+01,-7.53E+00,2.12E+01,-20.8
3.17E+04,2.01E+01,-9.10E+00,2.21E+01,-24.4
2.61E+04,2.04E+01,-1.10E+01,2.32E+01,-28.2
2.15E+04,2.08E+01,-1.32E+01,2.46E+01,-32.3
1.78E+04,2.13E+01,-1.55E+01,2.63E+01,-36.1
1.47E+04,2.18E+01,-1.82E+01,2.84E+01,-39.8
1.22E+04,2.26E+01,-2.16E+01,3.12E+01,-43.7
1.00E+04,2.34E+01,-2.57E+01,3.48E+01,-47.7
8.30E+03,2.44E+01,-3.06E+01,3.92E+01,-51.4
6.84E+03,2.56E+01,-3.65E+01,4.46E+01,-54.9
5.62E+03,2.71E+01,-4.33E+01,5.11E+01,-57.9
4.64E+03,2.89E+01,-5.10E+01,5.86E+01,-60.5
3.91E+03,3.09E+01,-6.01E+01,6.76E+01,-62.8
3.17E+03,3.33E+01,-7.06E+01,7.81E+01,-64.7
2.69E+03,3.61E+01,-8.27E+01,9.03E+01,-66.4
2.20E+03,3.96E+01,-9.89E+01,1.07E+02,-68.2
1.71E+03,4.35E+01,-1.18E+02,1.25E+02,-69.7
1.47E+03,4.74E+01,-1.38E+02,1.46E+02,-71
1.22E+03,5.17E+01,-1.63E+02,1.71E+02,-72.4
9.77E+02,5.64E+01,-1.92E+02,2.00E+02,-73.6
8.25E+02,6.12E+01,-2.26E+02,2.34E+02,-74.8
6.84E+02,6.66E+01,-2.67E+02,2.76E+02,-76
5.62E+02,7.26E+01,-3.18E+02,3.26E+02,-77.1
4.64E+02,7.99E+01,-3.79E+02,3.88E+02,-78.1
3.81E+02,8.84E+01,-4.53E+02,4.61E+02,-79
3.17E+02,9.86E+01,-5.41E+02,5.50E+02,-79.7
2.59E+02,1.11E+02,-6.46E+02,6.56E+02,-80.3
2.15E+02,1.26E+02,-7.73E+02,7.83E+02,-80.8
1.76E+02,1.43E+02,-9.23E+02,9.34E+02,-81.2
1.47E+02,1.63E+02,-1.10E+03,1.11E+03,-81.5
1.22E+02,1.89E+02,-1.32E+03,1.33E+03,-81.8
9.77E+01,2.19E+02,-1.57E+03,1.59E+03,-82.1
8.25E+01,2.53E+02,-1.87E+03,1.89E+03,-82.3
6.81E+01,2.94E+02,-2.23E+03,2.25E+03,-82.5
5.62E+01,3.44E+02,-2.66E+03,2.68E+03,-82.6
4.64E+01,4.06E+02,-3.17E+03,3.20E+03,-82.7
3.83E+01,4.81E+02,-3.79E+03,3.83E+03,-82.8
3.16E+01,5.72E+02,-4.54E+03,4.57E+03,-82.8
2.61E+01,6.81E+02,-5.42E+03,5.46E+03,-82.8
2.15E+01,8.11E+02,-6.47E+03,6.52E+03,-82.8
1.78E+01,9.67E+02,-7.72E+03,7.78E+03,-82.9
1.47E+01,1.15E+03,-9.21E+03,9.28E+03,-82.9
1.21E+01,1.37E+03,-1.10E+04,1.11E+04,-82.9
1.00E+01,1.63E+03,-1.31E+04,1.32E+04,-82.9
8.25E+00,1.95E+03,-1.57E+04,1.58E+04,-82.9
6.81E+00,2.32E+03,-1.88E+04,1.89E+04,-83
5.62E+00,2.78E+03,-2.24E+04,2.26E+04,-82.9
4.64E+00,3.33E+03,-2.67E+04,2.69E+04,-82.9
3.83E+00,4.00E+03,-3.19E+04,3.21E+04,-82.9
3.16E+00,4.77E+03,-3.82E+04,3.85E+04,-82.9
2.61E+00,5.67E+03,-4.57E+04,4.60E+04,-82.9
2.15E+00,6.64E+03,-5.48E+04,5.52E+04,-83.1
1.78E+00,7.76E+03,-6.56E+04,6.61E+04,-83.3
1.47E+00,9.31E+03,-7.84E+04,7.89E+04,-83.2
1.21E+00,1.13E+04,-9.33E+04,9.40E+04,-83.1
1.00E+00,1.39E+04,-1.11E+05,1.11E+05,-82.8
