Freq/Hz, Z'/ohm," Z""/ohm", Z/ohm, Phase/deg
9.99E+05,2.08E+01,1.42E+01,2.52E+01,34.3
8.25E+05,2.00E+01,1.19E+01,2.33E+01,30.7
6.82E+05,2.01E+01,8.83E+00,2.20E+01,23.7
5.63E+05,1.95E+01,7.17E+00,2.08E+01,20.2
4.64E+05,1.93E+01,5.47E+00,2.01E+01,15.8
3.83E+05,1.90E+01,4.35E+00,1.95E+01,12.9
3.16E+05,1.89E+01,3.17E+00,1.92E+01,9.5
2.61E+05,1.89E+01,2.18E+00,1.90E+01,6.6
2.16E+05,1.89E+01,1.18E+00,1.89E+01,3.6
1.78E+05,1.89E+01,2.88E-01,1.89E+01,0.9
1.47E+05,1.89E+01,-5.92E-01,1.89E+01,-1.8
1.21E+05,1.90E+01,-1.46E+00,1.90E+01,-4.4
9.96E+04,1.91E+01,-2.34E+00,1.92E+01,-7
8.25E+04,1.92E+01,-3.25E+00,1.95E+01,-9.6
6.81E+04,1.94E+01,-4.23E+00,1.98E+01,-12.3
5.62E+04,1.96E+01,-5.31E+00,2.03E+01,-15.2
4.64E+04,1.99E+01,-6.53E+00,2.09E+01,-18.2
3.83E+04,2.02E+01,-7.93E+00,2.17E+01,-21.5
3.17E+04,2.05E+01,-9.54E+00,2.27E+01,-24.9
2.61E+04,2.10E+01,-1.14E+01,2.39E+01,-28.5
2.15E+04,2.15E+01,-1.33E+01,2.53E+01,-31.8
1.78E+04,2.21E+01,-1.55E+01,2.70E+01,-35
1.47E+04,2.28E+01,-1.82E+01,2.92E+01,-38.6
1.22E+04,2.36E+01,-2.16E+01,3.20E+01,-42.4
1.00E+04,2.45E+01,-2.57E+01,3.55E+01,-46.3
8.30E+03,2.56E+01,-3.04E+01,3.98E+01,-49.9
6.84E+03,2.69E+01,-3.61E+01,4.50E+01,-53.3
5.62E+03,2.84E+01,-4.26E+01,5.13E+01,-56.3
4.64E+03,3.02E+01,-5.01E+01,5.84E+01,-58.9
3.91E+03,3.22E+01,-5.88E+01,6.71E+01,-61.3
3.17E+03,3.46E+01,-6.89E+01,7.71E+01,-63.4
2.69E+03,3.72E+01,-8.07E+01,8.89E+01,-65.2
2.20E+03,4.06E+01,-9.63E+01,1.05E+02,-67.2
1.71E+03,4.43E+01,-1.15E+02,1.23E+02,-68.9
1.47E+03,4.80E+01,-1.34E+02,1.43E+02,-70.3
1.22E+03,5.20E+01,-1.59E+02,1.67E+02,-71.9
9.77E+02,5.65E+01,-1.88E+02,1.96E+02,-73.3
8.25E+02,6.13E+01,-2.21E+02,2.30E+02,-74.5
6.84E+02,6.64E+01,-2.62E+02,2.70E+02,-75.8
5.62E+02,7.25E+01,-3.11E+02,3.19E+02,-76.9
4.64E+02,7.96E+01,-3.71E+02,3.80E+02,-77.9
3.81E+02,8.81E+01,-4.42E+02,4.51E+02,-78.7
3.17E+02,9.82E+01,-5.28E+02,5.37E+02,-79.5
2.59E+02,1.10E+02,-6.32E+02,6.41E+02,-80.1
2.15E+02,1.25E+02,-7.56E+02,7.67E+02,-80.6
1.76E+02,1.43E+02,-9.04E+02,9.15E+02,-81
1.47E+02,1.64E+02,-1.07E+03,1.09E+03,-81.3
1.22E+02,1.90E+02,-1.29E+03,1.30E+03,-81.6
9.77E+01,2.20E+02,-1.54E+03,1.56E+03,-81.9
8.25E+01,2.54E+02,-1.83E+03,1.85E+03,-82.1
6.81E+01,2.97E+02,-2.18E+03,2.20E+03,-82.3
5.62E+01,3.48E+02,-2.61E+03,2.63E+03,-82.4
4.64E+01,4.11E+02,-3.12E+03,3.14E+03,-82.5
3.83E+01,4.86E+02,-3.71E+03,3.75E+03,-82.5
3.16E+01,5.76E+02,-4.43E+03,4.47E+03,-82.6
2.61E+01,6.84E+02,-5.29E+03,5.33E+03,-82.6
2.15E+01,8.11E+02,-6.30E+03,6.35E+03,-82.7
1.78E+01,9.61E+02,-7.52E+03,7.58E+03,-82.7
1.47E+01,1.14E+03,-8.97E+03,9.04E+03,-82.8
1.21E+01,1.35E+03,-1.07E+04,1.08E+04,-82.8
1.00E+01,1.60E+03,-1.28E+04,1.29E+04,-82.9
8.25E+00,1.90E+03,-1.53E+04,1.54E+04,-82.9
6.81E+00,2.25E+03,-1.82E+04,1.84E+04,-83
5.62E+00,2.71E+03,-2.18E+04,2.20E+04,-82.9
4.64E+00,3.25E+03,-2.60E+04,2.62E+04,-82.9
3.83E+00,3.91E+03,-3.11E+04,3.13E+04,-82.8
3.16E+00,4.65E+03,-3.72E+04,3.75E+04,-82.9
2.61E+00,5.52E+03,-4.45E+04,4.48E+04,-82.9
2.15E+00,6.47E+03,-5.33E+04,5.37E+04,-83.1
1.78E+00,7.57E+03,-6.38E+04,6.43E+04,-83.2
1.47E+00,9.05E+03,-7.61E+04,7.67E+04,-83.2
1.21E+00,1.10E+04,-9.06E+04,9.13E+04,-83.1
1.00E+00,1.34E+04,-1.07E+05,1.08E+05,-82.9
