time,freq,imp,phase
2019/11/14 13:32:45.593,20.0,6970.075123,-84.2225557
2019/11/14 13:32:46.969,30.0,4756.860837,-84.16776646
2019/11/14 13:32:48.172,40.0,3621.891259,-84.00217953
2019/11/14 13:32:49.156,50.0,2940.591588,-83.91847659
2019/11/14 13:32:50.019,60.0,2481.239536,-83.82516087
2019/11/14 13:32:50.966,70.0,2142.743449,-83.59166733
2019/11/14 13:32:51.702,80.0,1890.584828,-83.44501769
2019/11/14 13:32:52.434,90.0,1692.805961,-83.29847102
2019/11/14 13:32:53.131,100.0,1533.47349,-83.08192528
2019/11/14 13:32:53.587,112.2018454301963,1377.121349,-82.97478148
2019/11/14 13:32:54.044,125.89254117941675,1237.121566,-82.72807051
2019/11/14 13:32:54.442,141.2537544622754,1111.526161,-82.51366503
2019/11/14 13:32:54.814,158.48931924611142,998.672264,-82.26897524
2019/11/14 13:32:55.180,177.82794100389228,898.3338257,-82.00205992
2019/11/14 13:32:55.592,199.52623149688787,807.0242584,-81.71491485
2019/11/14 13:32:55.919,223.872113856834,725.9075676,-81.42596449
2019/11/14 13:32:56.229,251.18864315095797,652.8605686,-81.09445427
2019/11/14 13:32:56.525,281.8382931264455,587.4641598,-80.74700222
2019/11/14 13:32:56.821,316.22776601683796,528.8291387,-80.36451346
2019/11/14 13:32:57.115,354.8133892335753,476.2458479,-79.95025304
2019/11/14 13:32:57.400,398.1071705534973,429.0396124,-79.51879261
2019/11/14 13:32:57.650,446.683592150963,386.6502392,-79.03575427
2019/11/14 13:32:57.910,501.18723362727246,348.7451098,-78.51965735
2019/11/14 13:32:58.184,562.341325190349,314.7353407,-77.98257781
2019/11/14 13:32:58.443,630.957344480193,284.2968613,-77.4119272
2019/11/14 13:32:58.703,707.945784384138,256.903402,-76.77351697
2019/11/14 13:32:58.990,794.3282347242813,232.5634786,-76.13390038
2019/11/14 13:32:59.243,891.2509381337459,210.6024805,-75.50424767
2019/11/14 13:32:59.470,1000.0,190.9199566,-74.81904654
2019/11/14 13:32:59.643,1122.018454301963,173.2139753,-74.13361449
2019/11/14 13:32:59.830,1258.9254117941675,157.3196226,-73.4180026
2019/11/14 13:32:59.999,1412.5375446227554,142.8496748,-72.71788999
2019/11/14 13:33:00.176,1584.893192461114,129.8590339,-71.97941481
2019/11/14 13:33:00.359,1778.2794100389228,118.1129027,-71.22559956
2019/11/14 13:33:00.521,1995.2623149688789,107.4233438,-70.44051083
2019/11/14 13:33:00.707,2238.72113856834,97.71196199,-69.56732291
2019/11/14 13:33:00.871,2511.886431509582,88.94333986,-68.64833385
2019/11/14 13:33:01.059,2818.382931264455,81.01542315,-67.63999157
2019/11/14 13:33:01.219,3162.2776601683795,73.81391368,-66.53754186
2019/11/14 13:33:01.388,3548.133892335753,67.31728758,-65.33560985
2019/11/14 13:33:01.550,3981.0717055349733,61.47745197,-63.99265431
2019/11/14 13:33:01.716,4466.835921509635,56.22946327,-62.54770934
2019/11/14 13:33:01.886,5011.872336272725,51.52125795,-60.95756961
